Regulator	Target	Score	Overall_rank
MYT1L	0	9.067664032727514	6
ZNF619	0	0.5555140811719186	489
ELK1	0	0.3096434661014473	838
ZNF112	1	4.082199257507928	38
ZNF461	1	1.7238974398921894	137
ZNF227	1	1.467779147106313	168
ZNF420	1	0.7265717389133152	363
ZNF383	1	0.6178818422916015	428
ZNF226	1	0.615799810639639	431
ZNF283	1	0.5599332323935723	485
ZNF570	1	0.3964297941519965	656
ZNF527	1	0.3769235581014906	688
ZNF529	1	0.3365580014847133	779
ZNF614	1	0.3280682659312635	798
ZNF230	1	0.3130742242751363	830
MYT1L	2	12.796623541269902	3
ZEB2	2	0.3082152061885154	846
VDR	3	5.950621652669266	18
ZNF510	3	1.7405503519791266	134
FOSL2	3	1.715381120575104	138
BHLHE40	3	1.2249243365438176	209
NFKB1	3	0.8098179231398052	320
SOX15	3	0.4681849649638561	580
CEBPB	3	0.4361789851452413	611
NFKB2	3	0.4227662416260364	623
PBX1	4	3.854623646678155	41
STAT6	4	1.4161423652409206	181
RUNX2	4	0.8540339853894271	303
TFAP4	4	0.7542786302460409	349
NKX3-1	4	0.6144132422030101	433
VDR	4	0.3377244912223906	775
ZNF704	5	4.387246855729455	32
STOX2	5	1.3913818410444887	182
MYT1	5	1.2321987001931234	208
TSHZ1	5	0.883865253549524	284
PURG	5	0.8137653941400097	317
ZBTB12	5	0.4761337281906422	569
SOX8	5	0.4419945829233447	607
PATZ1	5	0.3612395733558119	719
NFE2L2	5	0.2763792607706417	935
MYRF	6	7.070580216397095	12
ST18	6	1.253562967002006	204
GRHL1	6	0.5253042485963312	519
MYT1L	6	0.3871904109906657	672
ZSCAN25	6	0.3549415456376305	728
SOX10	6	0.3394249804962698	771
POU6F2	6	0.309193866383127	840
ETV4	6	0.2759519594551526	936
FOXJ1	7	9.767061064013454	5
ZNF396	7	0.812288615226781	319
ZNF165	7	0.3338432617315736	784
ZNF169	7	0.279921874124656	925
ZNF417	8	1.4358802286745809	177
ZNF14	8	1.0875148234080314	238
ZNF548	8	0.92532866149787	274
ZNF749	8	0.7220297648930056	367
ZNF136	8	0.6349837003977531	420
ZNF611	8	0.593836392283677	456
ZNF549	8	0.5290490002405046	515
ZNF841	8	0.4796384996297543	564
ZNF586	8	0.4563009331201738	590
ZNF45	8	0.4311240025933492	617
ZNF761	8	0.4160344482345418	633
ZNF551	8	0.4132355991964562	638
ZNF587	8	0.3896762107903087	670
ZNF599	8	0.3471882384434775	742
ZNF562	8	0.346042303911016	743
ZNF426	8	0.3350212275202192	781
ZNF461	8	0.3223562431448118	809
ZNF766	8	0.3187947451499633	816
ZNF333	8	0.2783715903786422	930
ZNF836	8	0.2776416263771691	933
ZNF253	9	2.328332764210786	90
ZNF730	9	1.8978158301870205	119
ZNF726	9	0.6862977001713495	383
ZNF254	9	0.668770865013196	398
STAT6	9	0.5745486370009752	469
ZNF519	9	0.474487713842246	570
ZNF891	9	0.44215154334197	606
ZNF678	9	0.4023987206870262	649
ZNF583	9	0.3962928078727151	657
ZNF781	9	0.3669291524729646	706
ZNF66	9	0.3280679753983276	799
ZNF431	9	0.3179029543031887	818
ZNF138	9	0.2959544983934262	878
ZBTB18	10	2.532793719926055	79
KCNIP3	10	2.259070729155201	94
SOX10	10	1.4673191608355338	169
MYT1L	10	1.0097395922644217	250
ETV4	10	0.7968571036024079	330
POU6F2	10	0.6066847755748774	441
REST	10	0.3439747262726149	751
MXD4	10	0.2960102807171209	877
MAFB	11	4.02733283889373	40
BATF	11	2.506971079949172	80
VDR	11	0.8740318031674921	285
FOSL2	11	0.8679669281303781	288
SPI1	11	0.798882626598336	328
IRF1	11	0.6107411237928141	438
PBX1	11	0.2869518995748618	905
MYT1	13	6.044454493914135	17
MYT1L	13	1.6472254349394628	147
NR2F6	13	0.8503237345313928	305
IRF3	13	0.8128205083991975	318
NACC2	13	0.4030057892566095	648
NKX2-2	13	0.3753479253568185	691
MYRF	14	5.756586398725882	20
ST18	14	2.130036699495818	102
STAT2	14	0.6035165139087828	445
ZNF502	14	0.5031966532709241	540
SOX10	14	0.3001947539597936	863
PBX1	15	3.2435277095373616	55
ZNF398	15	1.4716297980056254	167
ZNF66	15	0.8143166077526642	316
FOXP1	15	0.7535398776232565	350
ZNF384	15	0.6822884909222643	387
ZNF445	15	0.6705770356425123	397
ZNF142	15	0.6394239152572603	415
ZNF34	15	0.4852988075536141	557
ZBED3	15	0.3938239316165888	664
